"sample_a","sample_b","spl_comb","species_a","species_b","sp_comb","Phylum_taxo_q0","Phylum_taxo_q1","Phylum_taxo_q2","Phylum_phylo_q0","Phylum_phylo_q1","Phylum_phylo_q2","Class_taxo_q0","Class_taxo_q1","Class_taxo_q2","Class_phylo_q0","Class_phylo_q1","Class_phylo_q2","Order_taxo_q0","Order_taxo_q1","Order_taxo_q2","Order_phylo_q0","Order_phylo_q1","Order_phylo_q2","Family_taxo_q0","Family_taxo_q1","Family_taxo_q2","Family_phylo_q0","Family_phylo_q1","Family_phylo_q2","Genus_taxo_q0","Genus_taxo_q1","Genus_taxo_q2","Genus_phylo_q0","Genus_phylo_q1","Genus_phylo_q2","OTU_taxo_q0","OTU_taxo_q1","OTU_taxo_q2","OTU_phylo_q0","OTU_phylo_q1","OTU_phylo_q2"
"F-F487-B","F-F310-B","F-F310-B__F-F487-B","Diplodus_vulgaris","Pagellus_acarne","Diplodus_vulgaris__Pagellus_acarne",0.6,0.318487976298313,0.362342420822221,0.467700504239161,0.260070036545285,0.219353425544796,0.444444444444444,0.54219608464624,0.644167147203417,0.385506645328108,0.423343009205651,0.31362102916843,0.5,0.598646161161985,0.662999593680808,0.439927082430778,0.447181826063015,0.308591873898215,0.55,0.744577168262608,0.878533466554214,0.477250116023729,0.630514028981197,0.581474912796188,0.775,0.800034322137768,0.883453803622238,0.604783047655395,0.546435686698019,0.330774188485949,0.879581151832461,0.903786657152861,0.9850331301335,0.736909493921824,0.572784248070936,0.316551633633789
"F-F519-B","F-F310-B","F-F310-B__F-F519-B","Diplodus_sargus","Diplodus_vulgaris","Diplodus_sargus__Diplodus_vulgaris",0.5,0.32073391745214,0.374921471935096,0.362460245736517,0.262259387353964,0.231280246119117,0.428571428571429,0.512498015656479,0.616265115934724,0.345096529969378,0.404342005626322,0.310546877686584,0.454545454545455,0.529352169951052,0.613432488394272,0.384698350088895,0.412751958462016,0.305607830636804,0.481481481481481,0.630329738640602,0.776221559931315,0.3945690288624,0.548694815274935,0.544135768461284,0.720930232558139,0.657612955855133,0.761273687022539,0.525056656968369,0.483497265357348,0.323542995297861,0.842364532019704,0.856726829929475,0.960747162093126,0.693197172134233,0.553165321194453,0.32114799296271
"F-F520-B","F-F310-B","F-F310-B__F-F520-B","Diplodus_vulgaris","Oblada_melanura","Diplodus_vulgaris__Oblada_melanura",0.6,0.268501429445974,0.19859651372934,0.467700504239161,0.21389218083667,0.119045043318909,0.5,0.574388623105332,0.646627244220126,0.403959736225327,0.428887077324429,0.282651336201603,0.5,0.633126005158863,0.716779902345063,0.419464104783385,0.464533828848203,0.295587645285544,0.6,0.727983840299799,0.819290158835146,0.521377710046303,0.620926888076072,0.536577731085767,0.836734693877551,0.938515888419416,0.989616677390761,0.617668438969738,0.556655991346853,0.300528592123439,0.93607305936073,0.981431957708259,0.998725669453967,0.775587622829528,0.550455084323873,0.277996853999668
"F-F521-B","F-F310-B","F-F310-B__F-F521-B","Diplodus_vulgaris","Pagrus_pagrus","Diplodus_vulgaris__Pagrus_pagrus",0.428571428571429,0.313576824216039,0.222840362282734,0.297891115285834,0.24993392808379,0.13793777675163,0.333333333333333,0.380683871703237,0.25400478614916,0.276826396624742,0.291694459182014,0.13054171368367,0.454545454545455,0.53196190825037,0.461315898534024,0.376406001518615,0.355508853529085,0.162878914783331,0.538461538461539,0.84330208119277,0.949222614578457,0.391262535322437,0.482252985965094,0.300151441808887,0.714285714285714,0.868136993867208,0.960224896068132,0.524175408231582,0.425480203382931,0.192509976663993,0.971830985915493,0.986029365734853,0.999166286294076,0.636493519485392,0.427619321647026,0.17814827724311
"F-F522-B","F-F310-B","F-F310-B__F-F522-B","Diplodus_vulgaris","Oblada_melanura","Diplodus_vulgaris__Oblada_melanura",1,0.339757543810014,0.164027800075679,0.605257442985389,0.265553778503995,0.108716677392956,1,0.766745008458448,0.770039097266057,0.738854740915146,0.51814559699585,0.28561439467418,1,0.842602104456274,0.875882076613107,0.805767435712755,0.542599769536654,0.279478364403307,1,0.841109628223453,0.873485764148717,0.824720798298898,0.632009394647987,0.436007634660818,1,0.955618049354794,0.989296721819454,0.835648000947447,0.570713739481719,0.284318494788825,0.907692307692308,0.96225174263352,0.995390950502124,0.833271695492716,0.570835678053596,0.269355272318552
"F-F523-B","F-F310-B","F-F310-B__F-F523-B","Diplodus_vulgaris","Pagrus_pagrus","Diplodus_vulgaris__Pagrus_pagrus",0.636363636363636,0.320581277706102,0.295916048026558,0.503998115023472,0.263218423343552,0.183530863211969,0.529411764705882,0.489943482822933,0.551710682238878,0.433786802745997,0.386084052337005,0.264138038975334,0.513513513513514,0.667020896691979,0.779529693942951,0.438558309621282,0.456027718628796,0.279893799260808,0.659574468085106,0.779782791030601,0.90655142332874,0.561952997772917,0.576472900373829,0.473164274787381,0.873417721518987,0.918753063674732,0.968140433717562,0.677959651904085,0.553042688547187,0.291226441740648,0.922077922077922,0.957487372707077,0.981309210623563,0.754307892010729,0.538650430515471,0.267626255315576
"F-F313-B","F-F311-B","F-F311-B__F-F313-B","Diplodus_vulgaris","Sparus_aurata","Diplodus_vulgaris__Sparus_aurata",0.454545454545455,0.0487083678251063,0.0132864825783874,0.359632082875974,0.0390214103535911,0.00890355139785126,0.263157894736842,0.0883490818955919,0.0507115295829526,0.228377726843192,0.0607450220491612,0.0243918547213235,0.379310344827586,0.150870127518439,0.0802626442150527,0.310832889410546,0.0892082503574769,0.0288551188513673,0.371428571428571,0.21168406641185,0.15791097631857,0.319103698498754,0.135569349448579,0.069033007482715,0.575757575757576,0.373479445022989,0.228909152692494,0.456710371428278,0.160855040520264,0.0357531725598026,0.702702702702703,0.710080466054064,0.769781277005971,0.563479275612488,0.184887464891254,0.0335405725225864
"F-F315-B","F-F311-B","F-F311-B__F-F315-B","Diplodus_vulgaris","Sparus_aurata","Diplodus_vulgaris__Sparus_aurata",0.333333333333333,0.216318224023871,0.264986691134326,0.247238550963609,0.178982825371629,0.170335164937133,0.25,0.322828159771313,0.470191334485457,0.200203578184148,0.243883247896145,0.204608238225944,0.391304347826087,0.352124842355842,0.427620336884985,0.290601489748326,0.254829894188748,0.183821725250417,0.5,0.391751564651398,0.415355524572539,0.361783119905223,0.319250180866047,0.295271422120308,0.75,0.603224567576629,0.616233853408602,0.502572554503449,0.309556673553426,0.173273819997888,0.662921348314607,0.681894158764365,0.769500818252007,0.563670151335635,0.318604295650728,0.16705405124197
"F-F316-B","F-F311-B","F-F311-B__F-F316-B","Diplodus_vulgaris","Lithognathus_mormyrus","Diplodus_vulgaris__Lithognathus_mormyrus",0.4,0.03885257028223,0.00609676158455197,0.314200403049742,0.0315267218338493,0.00369683166076018,0.375,0.14809824898614,0.0723680533774556,0.309210444506373,0.104941241069612,0.0346424193576806,0.44,0.179155885059461,0.103181442494004,0.35969596803274,0.119943917961996,0.0399331871041291,0.483870967741935,0.373701007729681,0.386622017350458,0.398148550307805,0.23300548102473,0.140815730963516,0.708333333333333,0.50868361097639,0.386311291397822,0.49470958619774,0.230095766335225,0.0783739903519751,0.741379310344828,0.839438185163001,0.899358498901164,0.56446355578441,0.251949433580378,0.0708213206941508
"F-F318-B","F-F311-B","F-F311-B__F-F318-B","Diplodus_vulgaris","Lithognathus_mormyrus","Diplodus_vulgaris__Lithognathus_mormyrus",0.777777777777778,0.262907654846182,0.178002682461871,0.601025868589715,0.220224577076152,0.124325369221405,0.714285714285714,0.61362994426412,0.687107826473564,0.592739771546173,0.434007198856133,0.325653570708373,0.739130434782609,0.737767871890681,0.888482946088947,0.634185461427139,0.47418935295133,0.309602179423648,0.692307692307692,0.762916609652223,0.91516447426668,0.592046351886501,0.552988553725855,0.497522635247544,0.75609756097561,0.786838064714902,0.924649373821402,0.631563904271801,0.496332224089279,0.304509353583888,0.758620689655172,0.906329342316582,0.989397301870146,0.673550746975172,0.496413134290715,0.260444148181421
