"species_a","species_b","sp_comb","phylo","Gut_length","Relative_gut_length","Diet_FishBase"
"Diplodus_annularis","Boops_boops","Boops_boops__Diplodus_annularis",42.0430035605302,1.22176230625362,1.90545799177516,0.994
"Diplodus_puntazzo","Boops_boops","Boops_boops__Diplodus_puntazzo",42.0430035605302,0.68123439404725,1.69231909780155,0.697151424287856
"Diplodus_sargus","Boops_boops","Boops_boops__Diplodus_sargus",42.0430035605302,0.995456221781754,1.86636011728392,0.921
"Diplodus_vulgaris","Boops_boops","Boops_boops__Diplodus_vulgaris",42.0430035605302,0.987406842091792,1.86502042616579,0.971028971028971
"Lithognathus_mormyrus","Boops_boops","Boops_boops__Lithognathus_mormyrus",42.0430035605302,1.39730099055966,2.59180483782727,0.899
"Oblada_melanura","Boops_boops","Boops_boops__Oblada_melanura",42.0430035605302,0.318993002358193,1.4625735241533,0.303696303696304
"Pagellus_acarne","Boops_boops","Boops_boops__Pagellus_acarne",42.0430035605302,1.64140794841118,2.56790445018277,1
"Pagellus_erythrinus","Boops_boops","Boops_boops__Pagellus_erythrinus",61.426681451302,1.69420494344709,2.62657403460061,1
"Pagrus_pagrus","Boops_boops","Boops_boops__Pagrus_pagrus",61.426681451302,1.11761480919647,2.14689226050789,0.992992992992993
"Sarpa_salpa","Boops_boops","Boops_boops__Sarpa_salpa",18.3774370840534,1.97192309348373,0.543693032923994,0.832
"Sparus_aurata","Boops_boops","Boops_boops__Sparus_aurata",42.0430035605302,1.26868273572366,2.26179967246147,0.99800099950025
"Diplodus_puntazzo","Diplodus_annularis","Diplodus_annularis__Diplodus_puntazzo",21.6937075477896,0.540527912206373,0.213138893973608,0.951024487756122
"Diplodus_sargus","Diplodus_annularis","Diplodus_annularis__Diplodus_sargus",21.6937075477896,0.226306084471869,0.0390978744912446,0.597
"Diplodus_vulgaris","Diplodus_annularis","Diplodus_annularis__Diplodus_vulgaris",18.4679946092483,0.234355464161831,0.0404375656093715,0.483516483516484
